Harrow and Wealdstone, Kenton
Warwick Avenue, Paddington
Edgware Road (Bakerloo), Marylebone
Marylebone, Baker Street
Baker Street, Regents Park
Regents Park, Oxford Circus
Oxford Circus, Piccadilly Circus
Piccadilly Circus, Charing Cross
Charing Cross, Embankment
Embankment, Waterloo
Waterloo, Lambeth North
Lambeth North, Elephant and Castle
Maida Vale, Warwick Avenue
Kilburn Park, Maida Vale
Kenton, South Kenton
South Kenton, North Wembley
North Wembley, Wembley Central
Wembley Central, Stonebridge Park
Stonebridge Park, Harlesden
Paddington, Edgware Road (Bakerloo)
Harlesden, Willesden Junction
Willesden Junction, Kensal Green
Kensal Green, Queens Park
Queens Park, Kilburn Park
East Acton, North Acton
North Acton, West Acton
West Acton, Ealing Broadway
North Acton, Hanger Lane
Hanger Lane, Perivale
Perivale, Greenford
Greenford, Northolt
Northolt, South Ruislip
South Ruislip, Ruislip Gardens
Ruislip Gardens, West Ruislip
Wanstead, Redbridge
White City, East Acton
Shepherds Bush, White City
Holland Park, Shepherds Bush
Grange Hill, Chigwell
Hainault, Grange Hill
Fairlop, Hainault
Barkingside, Fairlop
Newbury Park, Barkingside
Gants Hill, Newbury Park
Redbridge, Gants Hill
Leytonstone, Wanstead
Snaresbrook, Leytonstone
South Woodford, Snaresbrook
Woodford, South Woodford
Buckhurst Hill, Woodford
Loughton, Buckhurst Hill
Debden, Loughton
Theydon Bois, Debden
Chigwell, Roding Valley
Leytonstone, Leyton
Leyton, Stratford
Notting Hill Gate, Holland Park
Queensway, Notting Hill Gate
Lancaster Gate, Queensway
Marble Arch, Lancaster Gate
Bond Street, Marble Arch
Oxford Circus, Bond Street
Tottenham Court Road, Oxford Circus
Holborn, Tottenham Court Road
Chancery Lane, Holborn
St. Pauls, Chancery Lane
Bank, St. Pauls
Liverpool Street, Bank
Bethnal Green, Liverpool Street
Mile End, Bethnal Green
Stratford, Mile End
Epping, Theydon Bois
St. James's Park, Victoria
Westminster, St. James's Park
Kings Cross St. Pancras, Farringdon
Euston Square, Kings Cross St. Pancras
Great Portland Street, Euston Square
Baker Street, Great Portland Street
Edgware Road (Circle/District/Hammersmith and City), Baker Street
Cannon Street, Mansion House
Mansion House, Blackfriars
Gloucester Road, High Street Kensington
High Street Kensington, Notting Hill Gate
Farringdon, Barbican
Barbican, Moorgate
Moorgate, Liverpool Street
Victoria, Sloane Square
Sloane Square, South Kensington
South Kensington, Gloucester Road
Embankment, Westminster
Temple, Embankment
Blackfriars, Temple
Tower Hill, Monument
Aldgate, Tower Hill
Liverpool Street, Aldgate
Notting Hill Gate, Bayswater
Bayswater, Paddington
Westbourne Park, Royal Oak
Monument, Cannon Street
Ladbroke Grove, Westbourne Park
Latimer Road, Ladbroke Grove
Wood Lane, Latimer Road
Shepherds Bush Market, Wood Lane
Goldhawk Road, Shepherds Bush Market
Royal Oak, Paddington
Hammersmith (Met.), Goldhawk Road
Paddington, Edgware Road (Circle/District/Hammersmith and City)
Ealing Common, Ealing Broadway
Parsons Green, Putney Bridge
Fulham Broadway, Parsons Green
West Brompton, Fulham Broadway
Earls Court, West Brompton
Earls Court, Kensington (Olympia)
Paddington, Edgware Road (Circle/District/Hammersmith and City)
Bayswater, Paddington
Notting Hill Gate, Bayswater
High Street Kensington, Notting Hill Gate
Earls Court, High Street Kensington
Gloucester Road, Earls Court
South Kensington, Gloucester Road
Sloane Square, South Kensington
Putney Bridge, East Putney
East Putney, Southfields
Acton Town, Ealing Common
Chiswick Park, Acton Town
Kew Gardens, Richmond
Gunnersbury, Kew Gardens
Turnham Green, Gunnersbury
Stamford Brook, Turnham Green
Ravenscourt Park, Stamford Brook
Hammersmith (District), Ravenscourt Park
Barons Court, Hammersmith (District)
West Kensington, Barons Court
Earls Court, West Kensington
Wimbledon Park, Wimbledon
Southfields, Wimbledon Park
Victoria, Sloane Square
St. James's Park, Victoria
Westminster, St. James's Park
Upton Park, Plaistow
East Ham, Upton Park
Barking, East Ham
Upney, Barking
Becontree, Upney
Dagenham Heathway, Becontree
Dagenham East, Dagenham Heathway
Elm Park, Dagenham East
Hornchurch, Elm Park
Upminster Bridge, Hornchurch
Upminster, Upminster Bridge
Turnham Green, Chiswick Park
Plaistow, West Ham
West Ham, Bromley-by-Bow
Bromley-by-Bow, Bow Road
Embankment, Westminster
Temple, Embankment
Blackfriars, Temple
Mansion House, Blackfriars
Cannon Street, Mansion House
Monument, Cannon Street
Tower Hill, Monument
Aldgate East, Tower Hill
Whitechapel, Aldgate East
Stepney Green, Whitechapel
Bow Church, Stepney Green
Bow Road, Bow Church
London City Airport, King George V
King George V, Woolwich Arsenal
Pontoon Dock, London City Airport
Cyprus, Gallions Reach
Gallions Reach, Beckton
Stratford, Stratford High Street
Devons Road, Langdon Park
Blackwall, East India
Abbey Road, West Ham
West Ham, Star Lane
Star Lane, Canning Town
Canning Town, West Silvertown
West Silvertown, Pontoon Dock
Custom House, Prince Regent
Beckton Park, Cyprus
Royal Albert, Beckton Park
Elverson Road, Lewisham
Deptford Bridge, Elverson Road
Greenwich, Deptford Bridge
Shadwell, Bank
Island Gardens, Cutty Sark for Maritime Greenwich
Mudchute, Island Gardens
Crossharbour and London Arena, Mudchute
East India, Canning Town
Canning Town, Royal Victoria
Royal Victoria, Custom House
Prince Regent, Royal Albert
Stratford High Street, Abbey Road
Poplar, Blackwall
Cutty Sark for Maritime Greenwich, Greenwich
South Quay, Crossharbour and London Arena
Heron Quays, South Quay
Canary Wharf, Heron Quays
West India Quay, Canary Wharf
Poplar, West India Quay
Shadwell, Tower Gateway
Westferry, Limehouse
Poplar, Westferry
All Saints, Poplar
Stratford International, Stratford
Stratford, Pudding Mill Lane
Pudding Mill Lane, Bow Church
Bow Church, Devons Road
Limehouse, Shadwell
Langdon Park, All Saints
Latimer Road, Ladbroke Grove
Wood Lane, Latimer Road
Shepherds Bush Market, Wood Lane
Goldhawk Road, Shepherds Bush Market
Upton Park, East Ham
Hammersmith (Met.), Goldhawk Road
Kings Cross St. Pancras, Farringdon
Ladbroke Grove, Westbourne Park
Westbourne Park, Royal Oak
Royal Oak, Paddington
Plaistow, Upton Park
West Ham, Plaistow
Bromley-by-Bow, West Ham
Bow Road, Bromley-by-Bow
Mile End, Bow Road
Stepney Green, Mile End
Whitechapel, Stepney Green
Aldgate East, Whitechapel
Liverpool Street, Aldgate East
Moorgate, Liverpool Street
Barbican, Moorgate
Farringdon, Barbican
Euston Square, Kings Cross St. Pancras
Great Portland Street, Euston Square
Baker Street, Great Portland Street
Edgware Road (Circle/District/Hammersmith and City), Baker Street
